sku,nombre,marca,subcategoria,categoria_raw,precio_actual,precio_original,descuento_pct,rating,num_opiniones,seller_raw,promo_raw,product_url,url_categoria,precio_actual_raw,precio_original_raw,descuento_pct_raw,rating_raw,opiniones_raw
10950829,"Monitor MSI MAG 272F X24 27"" FHD 240Hz Rapid IPS HDR Adaptive-Sync AI Vision Antirreflejo",MSI,Monitores,Monitores,119.0,,37.0,4.6,3152.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/monitor-msi-mag-272f-x24-27-fhd-240hz-rapid-ips-hdr-adaptive-sync-ai-vision-antirreflejo,https://www.pccomponentes.com/monitores-gaming,119.0,,37,4.6,3152
10867508,"AOC Q27G42XE 27"" LED Fast IPS QHD 180Hz Altavoces Adaptive Sync",AOC,Monitores,Monitores,1399.0,,22.0,4.6,863.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/monitor-aoc-q27g42xe-27-led-fast-ips-qhd-180hz-altavoces-adaptive-sync,https://www.pccomponentes.com/monitores-gaming,139.9,,22,4.6,863
10917629,"PcCom Elysium Pro Monitor gaming 34"" Fast VA WQHD 180Hz Adaptive Sync Altura Regulable Curvo",PcCom,Monitores,Monitores,21999.0,,26.0,4.4,945.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/pccom-elysium-pro-monitor-gaming-34-fast-va-wqhd-180hz-adaptive-sync-altura-regulable-curvo,https://www.pccomponentes.com/monitores-gaming,219.99,,26,4.4,945
10847588,"AOC Q27G4XF 27"" LED Fast IPS QHD 180Hz Regulable en Altura",AOC,Monitores,Monitores,13999.0,,29.0,4.6,7383.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/monitor-aoc-q27g4xf-27-led-fast-ips-qhd-180hz-regulable-en-altura,https://www.pccomponentes.com/monitores-gaming,139.99,,29,4.6,7383
10932295,"AOC 24B36X 24"" LED IPS FullHD 144Hz HDR10 Adaptive Sync",AOC,Monitores,Monitores,6999.0,,22.0,4.6,2736.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/monitor-aoc-24b36x-24-led-ips-fullhd-144hz-hdr10-adaptive-sync,https://www.pccomponentes.com/monitores-gaming,69.99,,22,4.6,2736
10948829,"Monitor LG 24G411A-B.AEU 24"" FullHD 144Hz IPS 1ms G-SYNC FreeSync Gaming",LG,Monitores,Monitores,79.0,,27.0,4.6,904.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/monitor-lg-24g411a-baeu-24-fullhd-144hz-ips-1ms-g-sync-freesync-gaming,https://www.pccomponentes.com/monitores-gaming,79.0,,27,4.6,904
10899355,"Monitor AOC Q27G42ZE 27"" Fast IPS QHD 240Hz 1ms HDR10 Adaptive Sync",AOC,Monitores,Monitores,1699.0,,32.0,4.6,863.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/monitor-aoc-q27g42ze-27-fast-ips-qhd-240hz-1ms-hdr10-adaptive-sync,https://www.pccomponentes.com/monitores-gaming,169.9,,32,4.6,863
10948830,"Monitor LG Ultragear 27G411A-B 27"" FullHD 144Hz IPS G-SYNC FreeSync HDR10 5ms VESA HDMI DisplayPort",LG,Monitores,Monitores,99.0,,16.0,4.6,904.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/monitor-lg-ultragear-27g411a-b-27-fullhd-144hz-ips-g-sync-freesync-hdr10-5ms-vesa-hdmi-displayport,https://www.pccomponentes.com/monitores-gaming,99.0,,16,4.6,904
10977662,"Monitor Asus ROG Strix XG27AQDMGR 26.5"" Quad HD 240Hz OLED 0.03ms G-SYNC FreeSync HDR10",Asus,Monitores,Monitores,459.0,,9.0,4.6,359.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/monitor-asus-rog-strix-xg27aqdmgr-265-quad-hd-240hz-oled-003ms-g-sync-freesync-hdr10,https://www.pccomponentes.com/monitores-gaming,459.0,,9,4.6,359
10633702,"AOC 25G3ZM 24.5"" LED FullHD 240Hz FreeSync Premium",AOC,Monitores,Monitores,8999.0,,47.0,4.6,1202.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/aoc-25g3zm-245-led-fullhd-240hz-freesync-premium,https://www.pccomponentes.com/monitores-gaming,89.99,,47,4.6,1202
